Station,District,BuiltDate
3101,서대문구,2017-11-01
3102,서대문구,2017-11-01
3103,서대문구,2018-10-12
3104,서대문구,2018-10-12
3105,서대문구,2018-10-18
3106,서대문구,2018-11-21
3107,서대문구,2018-10-12
3109,서대문구,2020-04-09
3110,서대문구,2020-04-09
3111,서대문구,2020-04-10
3112,서대문구,2020-02-13
3113,서대문구,2020-02-11
3114,서대문구,2020-04-12
3115,서대문구,2020-05-12
3116,서대문구,2020-04-05
3117,서대문구,2020-04-12
3119,서대문구,2020-04-10
3120,서대문구,2020-04-08
3121,서대문구,2020-04-08
3122,서대문구,2020-04-08
3123,서대문구,2020-05-04
3124,서대문구,2020-04-08
3125,서대문구,2020-04-10
3126,서대문구,2020-04-08
3127,서대문구,2020-04-09
3128,서대문구,2020-04-10
3129,서대문구,2020-04-22
3130,서대문구,2020-05-04
3131,서대문구,2020-05-04
3132,서대문구,2020-04-09
3133,서대문구,2020-04-12
3134,서대문구,2020-04-12
101,마포구,2015-09-06
102,마포구,2015-09-06
103,마포구,2015-09-06
104,마포구,2015-09-06
105,마포구,2015-09-06
106,마포구,2015-09-06
107,마포구,2015-09-06
108,마포구,2015-09-06
109,마포구,2015-09-07
111,마포구,2015-09-07
112,마포구,2015-09-07
113,마포구,
114,마포구,2015-09-07
118,마포구,2015-09-07
119,마포구,2015-09-07
120,마포구,2015-09-07
121,마포구,2015-09-07
122,마포구,2015-09-07
124,마포구,2015-09-07
125,마포구,2015-09-07
126,마포구,2015-09-07
127,마포구,2015-09-07
129,마포구,2015-09-07
130,마포구,2015-09-07
136,마포구,2015-09-07
142,마포구,2016-06-29
143,마포구,2016-06-29
144,마포구,2016-06-29
145,마포구,2016-06-29
146,마포구,2016-06-29
147,마포구,2016-06-29
148,마포구,2016-06-29
150,마포구,2016-06-29
151,마포구,2016-06-29
